Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
5.85938,21.0515,231.108,139.502,41.6824,159.1,139.502,5.85938,0.571811,6.27746,3.78922,1.13219,4.32154,3.78922,5.85938,775.024,8508.37,5135.85,1534.56,5857.35,5135.85
5.95703,115.707,228.036,218.662,29.1934,139.763,139.763,5.95703,3.09137,6.09247,5.84203,0.779964,3.73407,3.73407,5.95703,4330.83,8535.19,8184.33,1092.68,5231.21,5231.21
6.05469,126.743,198.31,370.324,129.695,69.087,129.695,6.05469,3.33161,5.21281,9.73443,3.40918,1.81604,3.40918,6.05469,4821.67,7544.23,14088.1,4933.93,2628.26,4933.93
6.15234,80.8683,26.582,14.3732,95.3233,255.461,80.8683,6.15234,2.09198,0.687649,0.371821,2.46592,6.60852,2.09198,6.15234,3126.07,1027.56,555.616,3684.85,9875.18,3126.07
6.25,42.5747,50.7813,286.013,145.551,213.814,145.551,6.25,1.08416,1.29313,7.28326,3.70642,5.44474,3.70642,6.25,1671.9,1994.18,11231.7,5715.76,8396.48,5715.76
6.34766,148.273,153.958,350.586,124.665,273.335,153.958,6.34766,3.71766,3.8602,8.79026,3.12572,6.85333,3.8602,6.34766,5913.65,6140.39,13982.6,4972.06,10901.5,6140.39
6.44531,167.037,30.166,186.563,93.0262,169.631,167.037,6.44531,4.12467,0.744893,4.60681,2.29711,4.18872,4.12467,6.44531,6764.51,1221.64,7555.24,3767.29,6869.56,6764.51
6.54297,151.417,8.32733,569.971,173.872,93.7944,151.417,6.54297,3.68315,0.202559,13.8643,4.22937,2.28151,3.68315,6.54297,6224.84,342.342,23431.9,7148,3855.95,6224.84
6.64063,167.682,117.152,143.397,88.4839,129.168,129.168,6.64063,4.01882,2.80777,3.43677,2.12068,3.09574,3.09574,6.64063,6996.42,4888.09,5983.12,3691.93,5389.43,5389.43
6.73828,141.554,70.9897,277.591,132.295,193.046,141.554,6.73828,3.34345,1.67674,6.55656,3.12474,4.55965,3.34345,6.73828,5993.11,3005.55,11752.6,5601.09,8173.15,5993.11
6.83594,188.12,67.2578,235.65,97.7116,215.907,188.12,6.83594,4.37982,1.5659,5.48643,2.27493,5.02677,4.37982,6.83594,8080.01,2888.82,10121.5,4196.86,9273.52,8080.01
6.93359,99.1592,211.014,339.988,109.62,39.406,109.62,6.93359,2.27612,4.84365,7.80413,2.51624,0.904531,2.51624,6.93359,4319.88,9192.83,14811.6,4775.62,1716.72,4775.62
7.03125,108.772,99.5844,265.695,154.397,126.33,126.33,7.03125,2.4621,2.25413,6.0141,3.49484,2.85953,2.85953,7.03125,4805.42,4399.5,11738,6821.06,5581.1,5581.1
7.12891,55.4636,144.57,713.263,120.809,190.992,144.57,7.12891,1.23824,3.22757,15.9238,2.69709,4.26396,3.22757,7.12891,2484.34,6475.62,31948.6,5411.3,8554.98,6475.62
7.22656,77.6696,97.928,419.934,84.3108,106.24,97.928,7.22656,1.71056,2.15673,9.24845,1.85683,2.3398,2.15673,7.22656,3526.65,4446.5,19067.4,3828.2,4823.94,4446.5
7.32422,120.848,23.5746,396.489,47.8757,195.884,120.848,7.32422,2.62601,0.512275,8.61569,1.04034,4.25655,2.62601,7.32422,5561.34,1084.89,18246.2,2203.21,9014.47,5561.34
7.42188,111.54,76.2026,278.068,110.189,241.02,111.54,7.42188,2.39186,1.63409,5.9629,2.3629,5.16843,2.39186,7.42188,5201.42,3553.56,12967.2,5138.45,11239.5,5201.42
