Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Acc_AVG
3.90625,9427.84,6042.68,1139.16,4460.16,2365.38,3225.96,9242.69,15243.2,5679.57,5679.57,3.90625,384.125,246.201,46.4134,181.723,96.3743,131.438,376.581,621.065,231.407,231.407,3.90625,231394,148310,27959.1,109469,58055.2,79177.1,226850,374125,139398,139398
4.00391,5848.54,12021.4,1718.38,4104.13,2267.51,6121.57,6540.46,7903.31,4626.2,5848.54,4.00391,232.479,477.851,68.3054,163.139,90.1334,243.332,259.983,314.156,183.891,232.479,4.00391,147133,302427,43229.7,103249,57044.5,154002,164540,198826,116383,147133
4.10156,3896.94,9983.66,4631.11,2789.29,1860.1,2644,2610.74,9742.18,5950.14,3896.94,4.10156,151.215,387.401,179.703,108.234,72.1782,102.596,101.306,378.031,230.886,151.215,4.10156,100427,257288,119348,71882.5,47936.3,68138.2,67281,251065,153340,100427
4.19922,4403.51,9353.96,5410.95,6211.74,3515.99,2947.41,1086.91,16844.9,3367.87,4403.51,4.19922,166.898,354.525,205.081,235.432,133.26,111.71,41.1952,638.438,127.646,166.898,4.19922,116184,246799,142765,163893,92767.5,77765.9,28677.6,444443,88859.5,116184
4.29688,8018.28,3659.47,7089.13,9949.91,2739.74,3017.96,3477.29,22389.5,4672.33,4672.33,4.29688,296.995,135.546,262.579,368.542,101.479,111.784,128.798,829.301,173.061,173.061,4.29688,216478,98798.6,191393,268628,73967.8,81479.2,93880.2,604473,126144,126144
4.39453,6513.24,12467.2,5201.44,8561.76,2379.03,108.802,3112.63,12713.8,5643.53,5643.53,4.39453,235.887,451.519,188.379,310.078,86.1604,3.94045,112.729,460.449,204.389,204.389,4.39453,179841,344240,143620,236404,65689,3004.21,85945,351048,155827,155827
4.49219,1724.23,9334.65,2917.74,6639.57,1566.32,2526.68,1566.5,13494,5761.09,2917.74,4.49219,61.0881,330.72,103.374,235.235,55.4935,89.5185,55.5,478.082,204.111,103.374,4.49219,48666.7,263473,82354,187404,44209.7,71316.2,44214.9,380871,162608,82354
4.58984,987.976,8235.53,1970.17,4742.89,5033.26,2734.32,860.954,14586,3056.04,3056.04,4.58984,34.2585,285.571,68.3166,164.462,174.531,94.8138,29.854,505.777,105.97,105.97,4.58984,28492.1,237503,56817.5,136779,145153,78854.6,24828.9,420644,88132.7,88132.7
4.6875,3095.06,5830.73,1286.95,17974.6,5176.66,1700.19,93.5813,11413.5,4570.69,4570.69,4.6875,105.087,197.971,43.6959,610.292,175.764,57.7265,3.17737,387.524,155.189,155.189,4.6875,91157,171729,37903.8,529395,152465,50074.6,2756.2,336156,134618,134618
4.78516,974.248,6045.6,930.594,13403.5,1009.64,1079.63,458.221,13514,17742.4,1079.63,4.78516,32.4036,201.078,30.9517,445.801,33.5806,35.9088,15.2405,449.477,590.116,35.9088,4.78516,29291.8,181767,27979.3,402989,30355.7,32460.3,13776.9,406311,533444,32460.3
4.88281,3944.73,1448.97,3791.58,5236.48,6302.48,3532.38,240.687,9173.6,15736.1,3944.73,4.88281,128.578,47.2289,123.586,170.683,205.429,115.138,7.84518,299.013,512.917,128.578,4.88281,121023,44453.7,116324,160653,193358,108372,7384.19,281442,482778,121023
4.98047,9916.9,2947.89,11736.8,11443.7,3449.09,2365.21,741.24,7736.58,12310.1,7736.58,4.98047,316.903,94.2021,375.06,365.694,110.219,75.5823,23.6869,247.229,393.379,247.229,4.98047,310332,92248.8,367283,358111,107933,74015.1,23195.8,242102,385222,242102
5.07813,3795.79,2050.15,12968.8,9387.89,2815.35,681.636,1776.34,7478.22,14756.7,3795.79,5.07813,118.965,64.2543,406.457,294.229,88.2368,21.3633,55.6727,234.377,462.494,118.965,5.07813,121112,65413.7,413792,299538,89828.9,21748.8,56677.3,238606,470839,121112
5.17578,1845.1,1696.34,14199.3,8584.38,3522.69,1012.27,937.811,12644,12133.8,3522.69,5.17578,56.7366,52.1624,436.629,263.969,108.323,31.1273,28.8376,388.802,373.114,108.323,5.17578,60003.3,55165.7,461768,279167,114559,32919.5,30498,411187,394597,114559
5.27344,4975.49,1166.69,12462.6,9172.94,5102.55,827.068,2953.6,20147.5,4344.41,4975.49,5.27344,150.163,35.2114,376.128,276.844,153.998,24.9613,89.141,608.061,131.116,150.163,5.27344,164858,38657.2,412936,303936,169068,27404.1,97864.4,667566,143948,164858
